gene,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
DDX3X,1.08E-09,0.190593783,0.337,0.304,3.95E-05
DPM2,1.09E-09,1.319087322,0.07,0.028,3.98E-05
MT-ND1,1.09E-09,-0.114999397,0.795,0.814,4.00E-05
EEPD1,1.12E-09,0.132908336,0.06,0.042,4.09E-05
RBCK1,1.14E-09,0.696953985,0.214,0.138,4.16E-05
GMCL1,1.16E-09,-0.136852638,0.073,0.076,4.26E-05
AC018816.1,1.17E-09,0.296797441,0.055,0.045,4.28E-05
ZC3H12A,1.19E-09,-0.107504207,0.162,0.178,4.35E-05
SERINC1,1.19E-09,-0.314679578,0.297,0.348,4.37E-05
KLRG1,1.26E-09,1.495031722,0.156,0.066,4.61E-05
SNW1,1.27E-09,-0.127921077,0.216,0.235,4.66E-05
CSTA,1.35E-09,0.981983222,0.119,0.062,4.95E-05
ELK3,1.36E-09,-0.349579142,0.091,0.105,4.97E-05
MAP7D1,1.43E-09,0.315737976,0.165,0.134,5.22E-05
ANAPC5,1.43E-09,0.384671958,0.238,0.184,5.24E-05
TMEM205,1.43E-09,0.975435145,0.093,0.046,5.24E-05
RAP1GAP2,1.45E-09,1.164390709,0.137,0.061,5.32E-05
PTPN12,1.46E-09,0.411494668,0.157,0.107,5.33E-05
EEF1G,1.51E-09,-0.140028676,0.875,0.879,5.54E-05
USP25,1.53E-09,0.15750469,0.147,0.127,5.60E-05
PGP,1.53E-09,0.475846295,0.158,0.115,5.61E-05
XRN1,1.53E-09,-0.168867141,0.284,0.297,5.61E-05
HNRNPUL1,1.54E-09,-0.395777093,0.256,0.318,5.65E-05
EMP3,1.55E-09,0.295269297,0.699,0.599,5.67E-05
VCL,1.58E-09,1.810162203,0.107,0.032,5.79E-05
LTA4H,1.61E-09,0.812558603,0.209,0.137,5.91E-05
RPS6KA1,1.62E-09,1.32608405,0.122,0.05,5.92E-05
AP1S2,1.62E-09,0.965096116,0.179,0.104,5.93E-05
LRRK2,1.65E-09,2.581603879,0.054,0.012,6.04E-05
TMEM250,1.66E-09,2.442766197,0.052,0.01,6.08E-05
FBXL20,1.69E-09,-0.17587189,0.073,0.075,6.20E-05
CD84,1.69E-09,0.254237421,0.05,0.039,6.20E-05
ALCAM,1.76E-09,-0.176224353,0.066,0.061,6.43E-05
CSRNP1,1.82E-09,0.220236082,0.351,0.321,6.67E-05
TPD52,1.85E-09,0.582184251,0.093,0.065,6.77E-05
SFMBT1,1.87E-09,-0.564063715,0.068,0.098,6.85E-05
RCSD1,1.92E-09,0.973416438,0.313,0.169,7.02E-05
ATP11B,1.92E-09,-0.156327674,0.223,0.229,7.02E-05
PPIG,1.97E-09,-0.17854112,0.234,0.262,7.22E-05
SLC2A3,2.01E-09,-0.202099143,0.412,0.447,7.34E-05
SIAH2-AS1,2.06E-09,0.21180876,0.053,0.043,7.55E-05
NDUFS7,2.11E-09,0.712318057,0.236,0.146,7.73E-05
TBRG1,2.11E-09,-0.23833424,0.177,0.2,7.73E-05
CLASP2,2.15E-09,-0.14540873,0.134,0.134,7.89E-05
GAPVD1,2.21E-09,-0.227297822,0.083,0.093,8.11E-05
HLA-DQB1,2.28E-09,0.637950436,0.236,0.129,8.33E-05
COP1,2.32E-09,-0.119478935,0.182,0.184,8.51E-05
FCN1,2.35E-09,1.288921945,0.147,0.08,8.60E-05
SMIM14,2.35E-09,1.536307443,0.064,0.023,8.60E-05
CCAR2,2.40E-09,-0.228073718,0.064,0.072,8.78E-05
ZER1,2.42E-09,-0.253680431,0.05,0.055,8.86E-05
GAB2,2.46E-09,-0.12991071,0.148,0.145,9.01E-05
CD151,2.53E-09,0.749361316,0.089,0.05,9.25E-05
CSRP1,2.63E-09,0.456459265,0.129,0.093,9.63E-05
SLC20A2,2.66E-09,-0.468394426,0.052,0.064,9.75E-05
FAM133B,2.87E-09,-0.264388805,0.266,0.308,0.000104955
SEPTIN6,2.89E-09,0.372785539,0.389,0.325,0.000105647
HMG20B,2.89E-09,0.680821549,0.108,0.065,0.000105734
PDLIM1,3.01E-09,0.711277552,0.05,0.031,0.000110053
RARA,3.01E-09,-0.569780965,0.181,0.237,0.000110342
STX8,3.04E-09,0.63076037,0.162,0.103,0.000111264
MPG,3.11E-09,0.698641498,0.146,0.092,0.000114012
ITCH,3.14E-09,-0.167415839,0.175,0.181,0.000114795
HPS1,3.19E-09,0.345886491,0.199,0.159,0.000116753
IDS,3.42E-09,-0.394598549,0.386,0.459,0.000125328
ATXN1,3.43E-09,-0.255445574,0.196,0.208,0.000125708
RIPOR2,3.43E-09,0.967104215,0.361,0.205,0.000125715
CD244,3.62E-09,1.419462796,0.072,0.024,0.000132415
GNL1,3.64E-09,-0.236985925,0.113,0.128,0.000133141
C19orf53,3.70E-09,-0.176128554,0.423,0.454,0.00013527
NUDT3,3.73E-09,0.247233769,0.168,0.137,0.000136401
SIRT2,3.84E-09,0.245340059,0.146,0.114,0.000140544
WASF2,3.88E-09,0.425136328,0.357,0.275,0.000142136
IFIH1,4.20E-09,0.622434733,0.101,0.067,0.000153744
NFAT5,4.27E-09,0.183943945,0.205,0.167,0.000156172
RNF168,4.34E-09,-0.333741247,0.161,0.191,0.000158695
C11orf58,4.37E-09,-0.245234152,0.372,0.42,0.000159861
ATP5PF,4.63E-09,0.399100484,0.343,0.266,0.000169632
BRD2,4.79E-09,0.138652029,0.24,0.212,0.000175226
CD302,4.87E-09,1.209550849,0.117,0.058,0.000178209
ITGAL,4.87E-09,0.711621503,0.169,0.101,0.000178328
LINC01003,4.97E-09,0.683359868,0.062,0.038,0.000181957
PRKX,5.16E-09,-0.437443957,0.17,0.202,0.000189021
ARMC8,5.24E-09,-0.256558806,0.129,0.151,0.000191855
PRKD3,5.31E-09,-0.370713959,0.091,0.108,0.000194269
BPGM,5.46E-09,-0.814901821,0.044,0.078,0.000199827
FLOT2,5.54E-09,0.731205102,0.175,0.109,0.000202902
SURF1,5.69E-09,0.378175171,0.198,0.15,0.000208267
M6PR,5.73E-09,0.964213521,0.232,0.123,0.000209601
UFC1,5.92E-09,0.19011984,0.38,0.331,0.000216729
PARP4,5.99E-09,0.168346507,0.092,0.077,0.000219071
SNX25,6.03E-09,-0.722114027,0.048,0.075,0.000220698
RCOR3,6.25E-09,-0.187689753,0.086,0.092,0.000228574
ANPEP,6.52E-09,-0.390406082,0.064,0.057,0.000238669
DUSP22,6.63E-09,0.623772042,0.106,0.069,0.000242608
MIS18BP1,6.92E-09,0.618856896,0.18,0.113,0.000253328
AURKAIP1,6.94E-09,0.351868736,0.274,0.216,0.000253878
ABHD14B,6.97E-09,0.268813495,0.262,0.228,0.000254939
COX5B,7.03E-09,0.111600951,0.605,0.575,0.000257475
ITGAM,7.13E-09,0.84893301,0.108,0.055,0.000260998
POR,7.21E-09,-0.559168509,0.05,0.068,0.000264024
ERCC5,7.27E-09,-0.247898737,0.124,0.14,0.000266115
TMEM35B,7.29E-09,2.222884454,0.09,0.019,0.00026674
PPARD,7.30E-09,-0.513250372,0.071,0.095,0.000267263
DDX24,7.69E-09,-0.263194189,0.654,0.713,0.000281641
PSENEN,7.75E-09,1.189581525,0.118,0.053,0.000283591
C21orf91,7.76E-09,-0.233890688,0.116,0.132,0.000283855
RPUSD3,8.00E-09,1.591677009,0.073,0.025,0.000292834
USP53,8.13E-09,-0.419496338,0.043,0.062,0.000297398
METRN,8.32E-09,0.827552658,0.058,0.034,0.000304428
RSRC1,8.42E-09,0.160884529,0.109,0.094,0.000308132
SRM,8.81E-09,0.377385653,0.177,0.137,0.000322467
PAFAH1B1,8.89E-09,-0.236228364,0.276,0.3,0.000325398
RARS,8.90E-09,-0.601064901,0.049,0.069,0.000325891
OASL,9.14E-09,-0.467647855,0.124,0.118,0.000334516
DHRS4,9.38E-09,0.967500123,0.094,0.048,0.000343338
ARPC2,9.90E-09,0.289203518,0.702,0.637,0.000362172
MIGA1,9.91E-09,-0.319499541,0.087,0.105,0.000362557
UFL1,9.96E-09,-0.315587306,0.151,0.182,0.00036468
SNTB1,1.00E-08,0.76888211,0.093,0.052,0.000366863
RPS6KA4,1.03E-08,1.246693084,0.064,0.027,0.000376229
TRPV2,1.03E-08,1.499035487,0.082,0.03,0.000376535
CXCR3,1.03E-08,-0.879187197,0.083,0.129,0.000376823
NFKB2,1.03E-08,-0.672125193,0.134,0.196,0.000377121
RUBCNL,1.08E-08,-0.760672433,0.046,0.065,0.000396108
STK4,1.10E-08,-0.204370606,0.448,0.478,0.000403163
FBXO34,1.12E-08,-0.485189441,0.134,0.171,0.000410019
RALBP1,1.14E-08,1.002877086,0.125,0.059,0.000419048
SHPRH,1.15E-08,-0.286125338,0.073,0.083,0.000420614
AVL9,1.20E-08,-0.26914404,0.084,0.095,0.000438164
PRAM1,1.21E-08,1.660772593,0.068,0.023,0.000443521
PSTPIP2,1.25E-08,0.96713765,0.094,0.047,0.00045917
JAK1,1.29E-08,-0.180822714,0.642,0.668,0.000472997
USP9X,1.31E-08,-0.319917743,0.165,0.186,0.000478353
LGALS2,1.35E-08,1.457176917,0.089,0.044,0.000495413
TREM1,1.37E-08,-0.139367114,0.07,0.057,0.000501587
NR4A1,1.37E-08,0.658300358,0.128,0.09,0.000502977
NUMB,1.40E-08,0.424590507,0.134,0.089,0.000511563
CCT8,1.41E-08,-0.150817958,0.2,0.215,0.000514366
PAFAH1B3,1.42E-08,0.775903072,0.066,0.039,0.000518243
HINT1,1.43E-08,-0.178915253,0.83,0.853,0.00052229
STRADA,1.43E-08,-0.243339471,0.061,0.071,0.000524855
CYP51A1,1.45E-08,0.131526118,0.122,0.105,0.000528918
TRIM33,1.48E-08,-0.234300528,0.133,0.148,0.000543229
CD2,1.49E-08,0.53009997,0.294,0.237,0.00054457
VAMP8,1.49E-08,0.68487792,0.322,0.22,0.000545312
SHKBP1,1.50E-08,0.720752519,0.209,0.131,0.00054933
LINC01138,1.59E-08,-0.189181038,0.345,0.373,0.000580652
ST6GAL1,1.60E-08,1.373936117,0.112,0.04,0.0005853
IMPDH1,1.63E-08,1.08321999,0.119,0.057,0.000595763
DHPS,1.66E-08,0.695159005,0.132,0.08,0.000608129
PHC3,1.68E-08,-0.3092144,0.21,0.25,0.000615813
STAT4,1.71E-08,-0.264957914,0.287,0.322,0.000625621
COPA,1.71E-08,-0.451954727,0.175,0.219,0.00062703
RAB4B,1.77E-08,0.946275114,0.088,0.044,0.00064796
GNA13,1.77E-08,-0.205838828,0.327,0.337,0.000649405
FN3KRP,1.78E-08,-0.505782596,0.037,0.051,0.000651096
RPS6KB2,1.78E-08,0.294977937,0.134,0.107,0.000651702
RTN3,1.80E-08,0.947096365,0.157,0.085,0.000658192
LGALS9,1.85E-08,1.144760778,0.121,0.062,0.00067536
KANSL3,1.86E-08,-0.359075811,0.056,0.071,0.000679982
TMEM109,1.87E-08,0.938824134,0.153,0.082,0.000684453
STK25,1.88E-08,0.875288959,0.099,0.056,0.000687228
MAPK8,1.88E-08,-0.519352508,0.166,0.214,0.000687297
HIF1A,1.88E-08,-0.155785684,0.402,0.399,0.000687715
RCAN3,1.91E-08,-0.310241741,0.21,0.275,0.000699155
NCALD,1.91E-08,0.863365764,0.108,0.055,0.00069964
TNFSF13B,1.93E-08,1.593304295,0.078,0.027,0.000707134
FTX,1.94E-08,0.1166356,0.082,0.072,0.000710784
WARS2,1.94E-08,-0.24686538,0.091,0.1,0.000710853
PSMG4,1.96E-08,0.515900189,0.104,0.071,0.000717159
SNRK,1.98E-08,-0.32269924,0.234,0.279,0.000723656
CDK10,1.98E-08,0.589728768,0.062,0.042,0.000726001
ERP29,2.09E-08,0.203434014,0.533,0.484,0.000763275
NUCB1,2.10E-08,0.38278614,0.259,0.2,0.000768672
HLA-DMA,2.11E-08,0.322042976,0.191,0.134,0.000771161
ARHGAP5,2.16E-08,-0.307306788,0.074,0.086,0.000790535
EIF3J,2.17E-08,-0.244773899,0.182,0.204,0.000794381
LRCH4,2.21E-08,0.758293175,0.09,0.055,0.000809641
SAMHD1,2.23E-08,0.768385332,0.319,0.2,0.000814993
PGK1,2.24E-08,-0.218454685,0.491,0.521,0.000819206
NCL,2.33E-08,0.135302841,0.618,0.573,0.000853851
NFU1,2.37E-08,-0.530092512,0.075,0.1,0.000866902
NUTM2A-AS1,2.37E-08,0.315846015,0.154,0.122,0.000867011
GMFG,2.44E-08,0.280519858,0.61,0.541,0.000892728
CCDC88C,2.47E-08,0.280117746,0.273,0.226,0.000904798
BRWD1,2.52E-08,-0.378545996,0.245,0.3,0.000921616
CEMIP2,2.56E-08,-0.530570615,0.253,0.326,0.0009383
NTMT1,2.58E-08,-0.437129885,0.08,0.105,0.000944224
ARL2,2.61E-08,1.315167141,0.076,0.032,0.000956015
FKBP4,2.65E-08,0.985333017,0.059,0.027,0.000969563
ABCA1,2.68E-08,0.494288933,0.1,0.078,0.000980408
RPL10,2.73E-08,-0.204365583,0.993,0.987,0.001000599
BEX2,2.74E-08,-0.465111081,0.141,0.205,0.001001363
UBR1,2.74E-08,-0.18542092,0.107,0.116,0.001003394
ADA2,2.77E-08,1.234205402,0.122,0.053,0.001015304
FARS2,2.80E-08,0.785698776,0.091,0.054,0.001023696
MED4,2.80E-08,-0.248848015,0.191,0.216,0.001024588
SIMC1,2.84E-08,-0.493497426,0.056,0.073,0.001038687
TMEM126A,2.85E-08,0.482393319,0.094,0.066,0.00104219
RNPEP,2.88E-08,0.771317833,0.099,0.058,0.001053823
TUBA1C,2.89E-08,0.535790333,0.133,0.091,0.001058584
CZIB,2.91E-08,0.757481043,0.098,0.056,0.001065359
RFTN1,2.92E-08,-0.410973168,0.17,0.208,0.00107036
BCL7C,2.94E-08,0.246853253,0.251,0.214,0.001077179
PPIB,3.02E-08,0.102134386,0.647,0.614,0.001105022
PIK3R5,3.06E-08,0.25864898,0.257,0.197,0.001121117
TBC1D1,3.15E-08,0.429815135,0.168,0.12,0.001151308
ZNF564,3.18E-08,-0.719500459,0.035,0.056,0.001162863
ITPA,3.25E-08,0.750957759,0.103,0.061,0.001190229
IER5,3.33E-08,0.30338796,0.26,0.215,0.001217378
ZNF581,3.39E-08,0.484354623,0.111,0.078,0.001240013
FMNL1,3.43E-08,-0.143289667,0.328,0.346,0.001256891
ARNTL,3.53E-08,-0.50421456,0.131,0.177,0.001292558
RC3H2,3.53E-08,-0.273698087,0.131,0.156,0.001293539
AL662844.4,3.60E-08,-0.147992705,0.048,0.052,0.001318764
DYNLL2,3.66E-08,0.145447211,0.216,0.201,0.00133917
ABRAXAS2,3.83E-08,-0.431091981,0.042,0.057,0.001403197
MIB2,4.12E-08,0.335529788,0.132,0.105,0.001509511
PLCG2,4.13E-08,-0.331447018,0.096,0.102,0.001511727
RAB27A,4.22E-08,0.789344369,0.119,0.067,0.001545935
DENND5A,4.23E-08,0.206034895,0.154,0.118,0.001548132
FKBP8,4.25E-08,0.27209664,0.452,0.39,0.001556071
UBR5,4.33E-08,-0.385357283,0.153,0.184,0.001583512
NEU1,4.37E-08,0.319565187,0.094,0.07,0.001599357
MED23,4.41E-08,-0.510073636,0.106,0.14,0.001612765
IDH3G,4.44E-08,0.679484099,0.165,0.105,0.001625158
SCMH1,4.47E-08,-0.653100626,0.054,0.08,0.001634905
MED13,4.47E-08,-0.464482212,0.099,0.125,0.001637517
DYRK1A,4.68E-08,-0.222874638,0.208,0.223,0.001714121
PRKCB,4.79E-08,0.600726589,0.304,0.207,0.001753757
SH3KBP1,5.06E-08,0.530509498,0.341,0.236,0.001850402
UBE2F,5.06E-08,0.386898858,0.199,0.144,0.001852162
TOMM6,5.08E-08,0.180983765,0.401,0.354,0.001858572
CEBPG,5.24E-08,0.144956284,0.147,0.13,0.001917338
ARHGAP21,5.27E-08,-0.174255663,0.055,0.056,0.001929727
GRASP,5.29E-08,-0.396810249,0.225,0.291,0.001937445
PABPN1,5.30E-08,0.181754009,0.416,0.37,0.001940337
ARHGEF7,5.34E-08,-0.397126872,0.134,0.168,0.001956314
GAA,5.42E-08,1.198401342,0.07,0.029,0.001982209
SLC27A3,5.50E-08,1.577536288,0.05,0.015,0.002014808
RBM5,5.90E-08,-0.243393985,0.094,0.103,0.002160909
SMIM29,6.13E-08,0.835640057,0.097,0.055,0.002243883
FAM104A,6.20E-08,-0.169227349,0.058,0.064,0.002268659
DENND1C,6.62E-08,0.557387803,0.148,0.104,0.002421715
UBE2G2,6.74E-08,0.197082274,0.139,0.12,0.002468232
LINC01550,6.79E-08,0.548992787,0.057,0.041,0.002484496
GCA,6.79E-08,0.905474824,0.082,0.043,0.002485337
SACM1L,6.81E-08,0.155867235,0.077,0.067,0.002492505
CDK19,6.88E-08,0.867804721,0.055,0.03,0.002517049
DGAT1,7.26E-08,0.558905107,0.074,0.051,0.00265732
PUM2,7.32E-08,-0.267767102,0.202,0.23,0.00267758
RPL31,7.44E-08,-0.154995224,0.852,0.863,0.00272389
THRAP3,7.51E-08,-0.288504604,0.241,0.276,0.002747691
CEP170,7.54E-08,0.251253354,0.113,0.088,0.002758398
USP47,7.85E-08,-0.298673656,0.241,0.277,0.002872759
PMS1,8.03E-08,0.826526324,0.075,0.043,0.002939614
JAML,8.10E-08,1.536692445,0.09,0.035,0.002964433
SIT1,8.55E-08,0.672305436,0.067,0.046,0.003128407
SCP2,8.62E-08,0.84055317,0.199,0.117,0.003153373
EIF5B,8.69E-08,-0.274053111,0.201,0.234,0.003179415
SSH1,8.71E-08,-0.258877841,0.07,0.077,0.003188532
CLTC,8.85E-08,-0.243141676,0.14,0.151,0.003238376
BORCS7,8.86E-08,0.484048755,0.127,0.09,0.003242161
HNRNPA1,9.23E-08,-0.228125142,0.913,0.932,0.003378298
RNF19A,9.24E-08,-0.231645636,0.303,0.318,0.003381179
FBXO11,9.31E-08,-0.206567582,0.136,0.141,0.00340612
TTC17,9.48E-08,-0.253724246,0.218,0.244,0.003468261
TPP1,9.52E-08,0.700737177,0.119,0.069,0.003484496
STXBP2,9.55E-08,0.695402378,0.275,0.188,0.003493978
GPATCH2L,9.88E-08,-0.245710057,0.064,0.071,0.003614395
COX5A,9.94E-08,0.353339051,0.378,0.301,0.003637601
SEC22C,1.00E-07,-0.179671888,0.072,0.082,0.003666983
ADRB2,1.03E-07,1.052065442,0.083,0.037,0.003775866
C20orf27,1.04E-07,0.99640173,0.135,0.071,0.003821308
IDH2,1.06E-07,0.812378993,0.18,0.107,0.003865198
CNIH1,1.09E-07,0.199036738,0.178,0.156,0.003971304
VEGFB,1.12E-07,0.101470273,0.155,0.147,0.004086458
SSH2,1.18E-07,-0.162467769,0.377,0.393,0.004310452
SMARCA2,1.20E-07,0.177781764,0.256,0.222,0.004388811
ZNF148,1.22E-07,-0.194173799,0.154,0.164,0.004479306
ITPR1,1.26E-07,0.111203954,0.091,0.075,0.004610373
MTMR14,1.27E-07,-0.121448285,0.15,0.157,0.004656554
FAR1,1.27E-07,-0.326031882,0.15,0.169,0.004666364
TWF2,1.28E-07,0.724852067,0.216,0.13,0.004667468
SFXN1,1.28E-07,-0.576143941,0.195,0.279,0.004683628
MSI2,1.30E-07,-0.333756742,0.118,0.14,0.004761295
SIK3,1.32E-07,-0.117539968,0.308,0.301,0.004820236
SCRN2,1.34E-07,0.643327898,0.073,0.048,0.004896781
CHMP4A,1.34E-07,0.282843338,0.204,0.163,0.004918052
COMTD1,1.35E-07,0.907815041,0.065,0.036,0.004929335
ARL15,1.39E-07,0.294513686,0.109,0.077,0.005076119
DGKZ,1.43E-07,0.68859283,0.215,0.139,0.005242119
MCTS1,1.44E-07,0.766689772,0.086,0.05,0.00526227
GNPTG,1.46E-07,0.506987931,0.181,0.129,0.005349673
RUNX2,1.47E-07,-0.133646638,0.081,0.087,0.005378717
RAB8B,1.52E-07,-0.183121603,0.321,0.331,0.005548137
RAC1,1.54E-07,0.16516484,0.416,0.383,0.005633945
PTGDR,1.56E-07,1.854748041,0.086,0.024,0.005713929
PIK3CB,1.60E-07,-0.417111764,0.072,0.083,0.005845815
ACYP1,1.64E-07,1.30988962,0.065,0.026,0.005991774
LHPP,1.64E-07,0.696521275,0.087,0.055,0.006015206
CCDC84,1.66E-07,-0.353485997,0.05,0.062,0.006066557
PITPNA,1.68E-07,-0.615424235,0.129,0.122,0.006136366
ATP8B2,1.69E-07,0.856594966,0.06,0.035,0.006170326
SELENOH,1.69E-07,0.538269982,0.329,0.236,0.0061718
GPRIN3,1.71E-07,-0.260996866,0.226,0.244,0.006268792
NDUFV3,1.72E-07,0.392329901,0.121,0.087,0.006303979
TRIM22,1.78E-07,0.249691485,0.218,0.177,0.006529784
TTC38,1.79E-07,0.672585475,0.085,0.05,0.006564419
DERA,1.80E-07,0.980158864,0.058,0.028,0.006574403
ZNF721,1.80E-07,-0.336857974,0.144,0.178,0.006582854
MT1X,1.80E-07,0.340815202,0.107,0.083,0.006587974
TMCC1,1.82E-07,-0.359730757,0.109,0.134,0.006675044
CDC42SE2,1.96E-07,-0.360950509,0.501,0.57,0.007166372
HEBP2,1.96E-07,-0.115958196,0.344,0.37,0.007184524
GADD45G,2.03E-07,-0.338172863,0.046,0.056,0.007440037
GBP1,2.03E-07,1.790223842,0.061,0.018,0.007447714
SERPINB1,2.04E-07,0.440026661,0.334,0.269,0.007468818
CWC25,2.16E-07,0.229503811,0.155,0.131,0.00788841
STN1,2.25E-07,0.950584975,0.099,0.053,0.008250313
MOB1A,2.29E-07,0.162572715,0.328,0.287,0.008388726
TMIGD2,2.29E-07,0.217493938,0.072,0.067,0.008395866
DNAJC10,2.31E-07,0.589064706,0.084,0.052,0.008443459
SFI1,2.31E-07,-0.124369711,0.079,0.086,0.008452289
GOLGA8A,2.36E-07,-0.487630175,0.069,0.093,0.008620175
NUDT1,2.36E-07,0.524576789,0.091,0.062,0.008627729
ERVK3-1,2.39E-07,-0.221317612,0.117,0.13,0.008765702
MAML3,2.45E-07,-0.27954636,0.082,0.077,0.008962867
PTGER4,2.47E-07,0.27583849,0.254,0.211,0.009052735
AHCY,2.54E-07,0.327842742,0.082,0.064,0.009298653
BCL2L11,2.55E-07,-0.444699909,0.099,0.116,0.009320984
MRPL24,2.58E-07,1.152012649,0.078,0.035,0.009431292
RPS11,2.62E-07,-0.180538959,0.762,0.787,0.009585263
CWF19L1,2.63E-07,-0.376449514,0.076,0.099,0.009608416
HELB,2.63E-07,0.357876452,0.1,0.082,0.009626585
N4BP1,2.63E-07,-0.450795671,0.19,0.239,0.009635208
PRKAR1A,2.67E-07,0.17081477,0.141,0.118,0.00977551
PIM1,2.68E-07,-0.226344584,0.249,0.289,0.009823412
MYC,2.75E-07,0.263902527,0.163,0.147,0.010075481
FAM53C,2.83E-07,0.506128235,0.081,0.059,0.010368223
COA6-AS1,2.84E-07,0.232373712,0.096,0.086,0.010393856
ZNF487,2.89E-07,0.30855618,0.059,0.045,0.010563752
SET,2.91E-07,0.137010852,0.576,0.533,0.010645012
MCM9,2.94E-07,-0.17306193,0.106,0.111,0.010767001
ATP6V1E1,2.95E-07,-0.1676626,0.082,0.089,0.01078028
SORL1,2.96E-07,-0.18141375,0.239,0.247,0.010816878
CAT,3.04E-07,1.40681867,0.113,0.043,0.01111052
CPPED1,3.07E-07,2.094199709,0.08,0.022,0.011239679
TRBV19,3.12E-07,1.940194383,0.064,0.032,0.011424121
CAP1,3.18E-07,0.880188802,0.343,0.219,0.011633661
GPATCH8,3.20E-07,-0.257689114,0.234,0.253,0.011726292
CFLAR,3.27E-07,0.19141888,0.279,0.239,0.011961479
PPP2R2B,3.28E-07,0.878375915,0.094,0.05,0.011989912
NOL8,3.28E-07,-0.322361496,0.058,0.07,0.011993846
STAG1,3.32E-07,-0.209107438,0.248,0.263,0.01214493
CHST15,3.43E-07,-0.392191178,0.069,0.062,0.012543326
DOP1A,3.57E-07,-0.27813489,0.048,0.055,0.01306882
ARF6,3.60E-07,0.197644715,0.497,0.443,0.013161189
SEPTIN11,3.67E-07,0.698489082,0.065,0.038,0.013426781
GALT,3.72E-07,0.623632352,0.073,0.048,0.013605775
CYBB,3.83E-07,2.015661413,0.116,0.039,0.014020392
HMOX1,3.89E-07,-0.737925159,0.09,0.071,0.014225046
TNFRSF4,3.95E-07,-0.695218774,0.038,0.055,0.014471608
GGA2,4.01E-07,-0.531667218,0.123,0.148,0.014662457
SH3TC1,4.12E-07,-0.328132943,0.049,0.058,0.015096138
EIF2D,4.17E-07,0.278308914,0.091,0.072,0.0152538
HIST1H1E,4.20E-07,0.41295932,0.646,0.575,0.015372887
TRIM14,4.22E-07,0.53989972,0.079,0.05,0.015429927
ULK4,4.29E-07,-0.143895087,0.064,0.066,0.015685339
MRPL57,4.38E-07,-0.192479946,0.228,0.251,0.016026355
FBXO25,4.42E-07,-0.195990331,0.064,0.072,0.016191176
RBM8A,4.45E-07,-0.10289822,0.428,0.442,0.016294315
RHOF,4.50E-07,-0.232639888,0.236,0.265,0.016481366
WDR83OS,4.55E-07,0.211834108,0.377,0.322,0.016649569
EIF4G3,4.58E-07,0.230865624,0.142,0.111,0.016762635
TCEA3,4.59E-07,0.325519577,0.052,0.046,0.016789017
SECISBP2L,4.59E-07,-0.182950303,0.178,0.2,0.0167935
PELI2,4.61E-07,-0.200387479,0.112,0.117,0.016863882
RC3H1,4.75E-07,-0.219960565,0.227,0.249,0.017397386
NPM1,4.87E-07,-0.123058094,0.843,0.852,0.017808928
LTA,4.88E-07,0.353570085,0.069,0.063,0.017873219
SH3BP2,4.91E-07,0.94884056,0.119,0.061,0.017985748
AP2S1,5.00E-07,0.691550822,0.249,0.161,0.018312885
GRK6,5.06E-07,0.684424498,0.266,0.177,0.018529554
UTRN,5.12E-07,0.526983672,0.339,0.245,0.018723317
ZNF428,5.17E-07,0.125429134,0.235,0.214,0.0189289
CFAP36,5.18E-07,-0.298649099,0.079,0.102,0.018946206
FBXO44,5.24E-07,0.545596547,0.062,0.044,0.019193158
CRYBG1,5.30E-07,-0.294140196,0.155,0.175,0.019392592
NTAN1,5.39E-07,0.393302058,0.101,0.077,0.019718267
PIK3CA,5.47E-07,-0.372641234,0.165,0.204,0.020005618
PDLIM5,5.48E-07,0.543483447,0.11,0.071,0.020041965
TOMM7,5.61E-07,-0.134652812,0.815,0.816,0.02054397
BOLA3,5.68E-07,0.543880869,0.107,0.076,0.020772534
PTPN7,5.73E-07,-0.294366361,0.115,0.14,0.020981093
CLNS1A,5.82E-07,0.457159641,0.194,0.14,0.021291718
BNIP1,5.85E-07,0.306007624,0.066,0.056,0.021397755
ATP6V0E1,6.17E-07,0.714000761,0.305,0.199,0.022587325
ZNF791,6.18E-07,-0.517095153,0.096,0.131,0.022610175
TNFRSF18,6.32E-07,-0.458335518,0.04,0.055,0.023118825
PPWD1,6.50E-07,-0.155241215,0.09,0.097,0.023805143
ALDH2,6.54E-07,1.494625929,0.078,0.034,0.02394919
FBXW11,6.62E-07,-0.253565912,0.153,0.171,0.024220984
BLOC1S6,6.62E-07,0.190422988,0.24,0.208,0.024221797
NRDC,6.72E-07,0.836434191,0.155,0.088,0.024608253
TRMT112,6.89E-07,0.116214595,0.266,0.225,0.025213391
INO80E,7.03E-07,0.615766603,0.159,0.108,0.025735464
PPP1R15B,7.14E-07,0.147818341,0.108,0.094,0.026149705
RPN2,7.39E-07,0.283886127,0.286,0.233,0.027060773
MRFAP1L1,7.50E-07,0.203194309,0.092,0.081,0.027455393
EBP,7.68E-07,0.586635765,0.087,0.059,0.028118187
PPP2R3C,7.75E-07,-0.292094215,0.101,0.117,0.028353734
SMYD3,7.82E-07,0.20759842,0.156,0.128,0.0286269
C1orf21,7.83E-07,0.699716401,0.122,0.07,0.028657433
IST1,7.85E-07,-0.405543266,0.173,0.218,0.028715676
S100A12,7.88E-07,1.162935564,0.107,0.058,0.028843463
